分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 47, IPv6: 0, 最小延迟: 400 ms, 最高速率: 9.82 M/s, 平均速率: 2.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 198 ms, 最高速率: 10.10 M/s, 平均速率: 4.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 47, IPv6: 0, 最小延迟: 362 ms, 最高速率: 9.61 M/s, 平均速率: 3.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 42, IPv6: 0, 最小延迟: 341 ms, 最高速率: 5.77 M/s, 平均速率: 2.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 764 ms, 最高速率: 3.01 M/s, 平均速率: 1.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 372 ms, 最高速率: 7.67 M/s, 平均速率: 4.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 252 ms, 最高速率: 7.23 M/s, 平均速率: 3.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 301 ms, 最高速率: 6.99 M/s, 平均速率: 3.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 有效: 4, IPv4: 39, IPv6: 0, 最小延迟: 262 ms, 最高速率: 10.20 M/s, 平均速率: 4.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 295 ms, 最高速率: 6.75 M/s, 平均速率: 3.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 275 ms, 最高速率: 7.35 M/s, 平均速率: 3.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 515 ms, 最高速率: 6.90 M/s, 平均速率: 2.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 172 ms, 最高速率: 9.63 M/s, 平均速率: 4.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-13, 有效: 2, IPv4: 44, IPv6: 0, 最小延迟: 852 ms, 最高速率: 4.77 M/s, 平均速率: 2.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 763 ms, 最高速率: 6.52 M/s, 平均速率: 2.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 425 ms, 最高速率: 9.04 M/s, 平均速率: 4.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 47, IPv6: 0, 最小延迟: 436 ms, 最高速率: 9.88 M/s, 平均速率: 5.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
